Name,Chromosome,Region,Identifier,GD1_S1_R1_001 RNA-Seq un-mapped reads [GD1_S1_R1_001] (single) sampled (GE) - Total counts,GD1_S1_R1_001 RNA-Seq un-mapped reads [GD1_S1_R1_001] (single) sampled (GE) - RPKM,GD1_S1_R1_001 RNA-Seq un-mapped reads [GD1_S1_R1_001] (single) sampled (GE) - TPM,GD1_S1_R1_001 RNA-Seq un-mapped reads [GD1_S1_R1_001] (single) sampled (GE) - CPM,GD2_S2_R1_001 RNA-Seq un-mapped reads [GD2_S2_R1_001] (single) sampled (GE) - Total counts,GD2_S2_R1_001 RNA-Seq un-mapped reads [GD2_S2_R1_001] (single) sampled (GE) - RPKM,GD2_S2_R1_001 RNA-Seq un-mapped reads [GD2_S2_R1_001] (single) sampled (GE) - TPM,GD2_S2_R1_001 RNA-Seq un-mapped reads [GD2_S2_R1_001] (single) sampled (GE) - CPM,GD3_S3_R1_001 RNA-Seq un-mapped reads [GD3_S3_R1_001] (single) sampled (GE) - Total counts,GD3_S3_R1_001 RNA-Seq un-mapped reads [GD3_S3_R1_001] (single) sampled (GE) - RPKM,GD3_S3_R1_001 RNA-Seq un-mapped reads [GD3_S3_R1_001] (single) sampled (GE) - TPM,GD3_S3_R1_001 RNA-Seq un-mapped reads [GD3_S3_R1_001] (single) sampled (GE) - CPM,GD4_S4_R1_001 RNA-Seq un-mapped reads [GD4_S4_R1_001] (single) sampled (GE) - Total counts,GD4_S4_R1_001 RNA-Seq un-mapped reads [GD4_S4_R1_001] (single) sampled (GE) - RPKM,GD4_S4_R1_001 RNA-Seq un-mapped reads [GD4_S4_R1_001] (single) sampled (GE) - TPM,GD4_S4_R1_001 RNA-Seq un-mapped reads [GD4_S4_R1_001] (single) sampled (GE) - CPM,GD5_S5_R1_001 RNA-Seq un-mapped reads [GD5_S5_R1_001] (single) sampled (GE) - Total counts,GD5_S5_R1_001 RNA-Seq un-mapped reads [GD5_S5_R1_001] (single) sampled (GE) - RPKM,GD5_S5_R1_001 RNA-Seq un-mapped reads [GD5_S5_R1_001] (single) sampled (GE) - TPM,GD5_S5_R1_001 RNA-Seq un-mapped reads [GD5_S5_R1_001] (single) sampled (GE) - CPM,GD6_S6_R1_001 RNA-Seq un-mapped reads [GD6_S6_R1_001] (single) sampled (GE) - Total counts,GD6_S6_R1_001 RNA-Seq un-mapped reads [GD6_S6_R1_001] (single) sampled (GE) - RPKM,GD6_S6_R1_001 RNA-Seq un-mapped reads [GD6_S6_R1_001] (single) sampled (GE) - TPM,GD6_S6_R1_001 RNA-Seq un-mapped reads [GD6_S6_R1_001] (single) sampled (GE) - CPM,GD7_S7_R1_001 RNA-Seq un-mapped reads [GD7_S7_R1_001] (single) sampled (GE) - Total counts,GD7_S7_R1_001 RNA-Seq un-mapped reads [GD7_S7_R1_001] (single) sampled (GE) - RPKM,GD7_S7_R1_001 RNA-Seq un-mapped reads [GD7_S7_R1_001] (single) sampled (GE) - TPM,GD7_S7_R1_001 RNA-Seq un-mapped reads [GD7_S7_R1_001] (single) sampled (GE) - CPM,GD8_S8_R1_001 RNA-Seq un-mapped reads [GD8_S8_R1_001] (single) sampled (GE) - Total counts,GD8_S8_R1_001 RNA-Seq un-mapped reads [GD8_S8_R1_001] (single) sampled (GE) - RPKM,GD8_S8_R1_001 RNA-Seq un-mapped reads [GD8_S8_R1_001] (single) sampled (GE) - TPM,GD8_S8_R1_001 RNA-Seq un-mapped reads [GD8_S8_R1_001] (single) sampled (GE) - CPM,GD9_S9_R1_001 RNA-Seq un-mapped reads [GD9_S9_R1_001] (single) sampled (GE) - Total counts,GD9_S9_R1_001 RNA-Seq un-mapped reads [GD9_S9_R1_001] (single) sampled (GE) - RPKM,GD9_S9_R1_001 RNA-Seq un-mapped reads [GD9_S9_R1_001] (single) sampled (GE) - TPM,GD9_S9_R1_001 RNA-Seq un-mapped reads [GD9_S9_R1_001] (single) sampled (GE) - CPM,GD10_S10_R1_001 RNA-Seq un-mapped reads [GD10_S10_R1_001] (single) sampled (GE) - Total counts,GD10_S10_R1_001 RNA-Seq un-mapped reads [GD10_S10_R1_001] (single) sampled (GE) - RPKM,GD10_S10_R1_001 RNA-Seq un-mapped reads [GD10_S10_R1_001] (single) sampled (GE) - TPM,GD10_S10_R1_001 RNA-Seq un-mapped reads [GD10_S10_R1_001] (single) sampled (GE) - CPM,GD11_S11_R1_001 RNA-Seq un-mapped reads [GD11_S11_R1_001] (single) sampled (GE) - Total counts,GD11_S11_R1_001 RNA-Seq un-mapped reads [GD11_S11_R1_001] (single) sampled (GE) - RPKM,GD11_S11_R1_001 RNA-Seq un-mapped reads [GD11_S11_R1_001] (single) sampled (GE) - TPM,GD11_S11_R1_001 RNA-Seq un-mapped reads [GD11_S11_R1_001] (single) sampled (GE) - CPM,GD12_S12_R1_001 RNA-Seq un-mapped reads [GD12_S12_R1_001] (single) sampled (GE) - Total counts,GD12_S12_R1_001 RNA-Seq un-mapped reads [GD12_S12_R1_001] (single) sampled (GE) - RPKM,GD12_S12_R1_001 RNA-Seq un-mapped reads [GD12_S12_R1_001] (single) sampled (GE) - TPM,GD12_S12_R1_001 RNA-Seq un-mapped reads [GD12_S12_R1_001] (single) sampled (GE) - CPM,GD13_S13_R1_001 RNA-Seq un-mapped reads [GD13_S13_R1_001] (single) sampled (GE) - Total counts,GD13_S13_R1_001 RNA-Seq un-mapped reads [GD13_S13_R1_001] (single) sampled (GE) - RPKM,GD13_S13_R1_001 RNA-Seq un-mapped reads [GD13_S13_R1_001] (single) sampled (GE) - TPM,GD13_S13_R1_001 RNA-Seq un-mapped reads [GD13_S13_R1_001] (single) sampled (GE) - CPM
PA14_00120,PA14 ref,14236..15123,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4385192,34,117.4800891,135.4539245,152.1686948,18,59.71380844,68.16811178,77.55374089,31,85.09195344,94.45746646,107.5726462,21,59.18257968,65.04662129,76.64189013,29,81.18968488,90.23000584,105.6903519,56,137.4515871,148.8187568,188.0517858,47,112.4965258,122.1820744,135.8576349,41,96.7938935,106.296872,127.7456036,35,82.82496788,90.62680314,109.7375514,42,101.7708654,111.2261911,132.6568981,52,121.6748122,135.6504077,177.3364053,41,97.85655947,115.4761711,181.6350879,47,112.3494281,128.1888247,181.9037743
PA14_00130,PA14 ref,15208..15474,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4385193,13,149.3930545,172.2494057,58.18214803,7,77.23284087,88.16749539,30.15978813,2,18.2582227,20.26778548,6.940170724,8,74.98360015,82.41326871,29.19691053,2,18.62235314,20.69591765,7.288989789,11,89.79582014,97.22188444,36.93874364,12,95.52657412,103.7510706,34.68705572,15,117.7760721,129.3390276,46.73619644,17,133.7962242,146.3993815,53.3010964,3,24.17670639,26.42291538,9.475492723,28,217.899923,242.9279558,95.48883364,20,158.758792,187.3441856,88.60248191,27,214.6537484,244.9163487,104.4979129
PA14_00140,PA14 ref,15621..16274,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4385194,5,23.45797786,27.04692503,22.37774924,9,40.53964976,46.27926855,38.77687045,3,11.18106757,12.41169432,10.41025609,9,34.43914204,37.85150701,32.84652434,6,22.80811141,25.34775235,21.86696937,11,36.65976143,39.69150328,36.93874364,16,51.9991749,56.47611795,46.24940763,6,19.23315673,21.12141918,18.69447858,11,35.34444239,38.67377078,34.48894473,13,42.77132919,46.74512706,41.06046847,13,41.3024592,46.04646868,44.33410133,13,42.12933999,49.71495934,57.59161324,17,55.17688095,62.95590139,65.79498218
PA14_00150,PA14 ref,complement(16336..16608),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4385195,5,56.19603488,64.79373248,22.37774924,1,10.79077369,12.31853546,4.308541161,4,35.71388617,39.64467929,13.88034145,0,0,0,0,3,27.31960598,30.36159348,10.93348468,2,15.9676883,17.28820722,6.716135207,3,23.35677224,25.36770683,8.671763931,7,53.75420727,59.03165874,21.810225,3,23.09217315,25.26737871,9.406075835,2,15.7635668,17.22812798,6.316995149,6,45.66662437,50.91190282,20.46189292,6,46.58087634,54.96801928,26.58074457,5,38.87705251,44.35806885,19.35146535
PA14_00160,PA14 ref,complement(16923..17240),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4385196,5,48.24376579,55.62480808,22.37774924,3,27.79133223,31.72603945,12.92562348,12,91.98010305,102.1037495,41.64102434,7,55.08818737,60.54654057,25.54729671,10,78.17874667,86.88380523,36.44494894,7,47.97838418,51.94616981,23.50647322,10,66.83856208,72.59312331,28.90587977,11,72.5174683,79.63704906,34.27321072,12,79.29765119,86.767225,37.62430334,17,115.0294238,125.7165754,53.69445876,8,52.27248827,58.2765177,27.2825239,10,66.64873816,78.64920998,44.30124096,3,20.02534969,22.84859018,11.61087921
trkA,PA14 ref,complement(17389..18762),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4385197,22,49.12858595,56.64500106,98.46209666,27,57.88849551,66.08437037,116.3306113,32,56.76792386,63.01599678,111.0427316,24,43.71314681,48.04441647,87.59073158,31,56.09069029,62.33628472,112.9793417,56,88.83334013,96.17980787,188.0517858,56,86.6274464,94.08575981,161.8729267,41,62.55675213,68.69841508,127.7456036,42,64.23456024,70.28524121,131.6850617,43,67.33934159,73.59570391,135.8153957,51,77.12474662,85.98331186,173.9260898,28,43.19071067,50.96743564,124.0434747,34,52.52646309,59.93181879,131.5899644
PA14_00180,PA14 ref,complement(18789..20093),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4385198,13,30.56547552,35.24183243,58.18214803,10,22.57380242,25.76980982,43.08541161,10,18.67795196,20.73371159,34.70085362,7,13.42378819,14.75386966,25.54729671,6,11.43027193,12.70301152,21.86696937,22,36.74403675,39.78274811,73.87748728,28,45.60387408,49.53020459,80.93646336,7,11.24513302,12.3491516,21.810225,15,24.15388226,26.42909727,47.03037918,9,14.83949564,16.21820323,28.42647817,12,19.10649571,21.30107199,40.92378584,11,17.86492614,21.08160433,48.73136505,6,9.759480768,11.13540487,23.22175842
fmt,PA14 ref,complement(20090..21034),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4385199,12,38.96258418,44.92365452,53.70659818,7,21.82134234,24.91081616,30.15978813,10,25.79336223,28.63226838,34.70085362,5,13.24115161,14.55313674,18.24806908,4,10.52310749,11.69483601,14.57797958,13,29.98377025,32.46341134,43.65487884,22,49.48175453,53.74195668,63.59293549,16,35.49484163,38.97963498,49.85194287,10,22.23690748,24.33154987,31.35358612,10,22.76959649,24.88507375,31.58497574,15,32.98145094,36.76970759,51.1547323,6,13.45669761,15.87965002,26.58074457,4,8.984918803,10.25164258,15.48117228
def,PA14 ref,complement(21088..21594),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4385200,36,217.8677044,251.2003167,161.1197945,39,226.6062474,258.6892447,168.0331053,49,235.5742876,261.5024038,170.0341827,54,266.5467325,292.9572259,197.079146,44,215.754837,239.7787382,160.3577754,74,318.1254822,344.4342824,248.4970027,71,297.6491232,323.2756485,205.2317464,76,314.2553656,345.1081588,236.7967286,57,236.2506945,258.5047206,178.7154409,54,229.1780097,250.470476,170.558869,143,586.0550128,653.3694196,487.6751146,90,376.230155,443.9724635,398.7111686,147,615.4536467,702.2223516,568.9330812
PA14_00210,PA14 ref,21733..22758,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4385201,29,86.72592751,99.99453803,129.7909456,29,83.26564841,95.05443007,124.9476937,28,66.51972365,73.84111319,97.16239014,42,102.4446993,112.5953211,153.2837803,27,65.42326695,72.70802649,98.40136215,33,70.10375432,75.90129574,110.8162309,41,84.93578678,92.24845435,118.5141071,49,100.1211405,109.9507796,152.671575,43,88.06985724,96.36574356,134.8204203,51,106.9571835,116.8943596,161.0833763,54,109.3595478,121.9206094,184.1570363,36,74.36596047,87.75596061,159.4844674,45,93.10030996,106.2259017,174.1631881
PA14_00230,PA14 ref,22893..23981,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4385202,0,0,0,0,1,2.705125084,3.088117705,4.308541161,1,2.23826697,2.48461833,3.470085362,1,2.298051107,2.525751004,3.649613816,2,4.5658111,5.074205705,7.288989789,0,0,0,0,2,3.903519328,4.239598386,5.781175954,0,0,0,0,3,5.788946988,6.334246453,9.406075835,0,0,0,0,3,5.724053468,6.3815195,10.23094646,3,5.838649789,6.889930792,13.29037229,2,3.898415183,4.448026739,7.740586139
PA14_00240,PA14 ref,24022..24579,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4385203,6,32.9925108,38.04019133,26.85329909,13,68.63164124,78.34853469,56.01103509,20,87.36461401,96.98026387,69.40170724,19,85.21321764,93.65647673,69.3426625,31,138.1157858,153.4947226,112.9793417,18,70.30933718,76.12388019,60.44521686,18,68.5634282,74.46649423,52.03058359,20,75.14028974,82.51737243,62.31492858,20,75.31855758,82.41331407,62.70717224,26,100.2596749,109.5745989,82.12093693,8,29.78969762,33.21134879,27.2825239,10,37.98261422,44.82159279,44.30124096,16,60.86557899,69.44661102,61.92468911
qor,PA14 ref,complement(24589..25566),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4385204,14,43.92254505,50.6424633,62.65769788,15,45.18222724,51.57914388,64.62811741,27,67.29219195,74.69860201,93.69230477,28,71.64844002,78.74764786,102.1891868,26,66.09221651,73.45146234,94.75686726,12,26.74342887,28.95509553,40.29681124,12,26.07934079,28.32467879,34.68705572,15,32.15359024,35.31034802,46.73619644,16,34.3785318,37.61687464,50.16573779,17,37.40220528,40.87716869,53.69445876,14,29.7440079,33.16041114,47.74441682,4,8.66842484,10.2292224,17.72049638,9,19.53393007,22.28788858,34.83263763
hemF,PA14 ref,25757..26674,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4384742,16,53.47805672,61.65991797,71.60879757,17,54.55335586,62.27704039,73.24519973,21,55.75918012,61.89622723,72.8717926,17,46.34403065,50.93597858,62.04343487,14,37.91413727,42.1358062,51.02292852,22,52.23416989,56.55390663,73.87748728,23,53.25242299,57.83726622,66.48352347,24,54.80821134,60.18914225,74.7779143,30,68.6728025,75.14155106,94.06075835,29,67.97394247,74.28926427,91.59642966,28,63.3761214,70.65551655,95.48883364,14,32.32245994,38.14229661,62.02173734,19,43.93361032,50.12751703,73.53556832
